Year,Pick,Team,Player,College,Games,Minutes,Points,Rebounds,Assists,FG%,3P%,FT%,Win Shares,WS/48,BPM,VORP,MPG,PPG,RPG,APG,Pick Range,Career Tier,Bust?,Pick Efficiency,Value Above Expected
2012,23,ATL,John Jenkins,Vanderbilt,171,2183,855,250,138,0.441,0.367,0.847,3,0.065,-1.9,0.1,12.8,5,1.5,0.8,Late First,Minimal,No,0.13,-13.64
2012,24,CLE,Jared Cunningham,Oregon State,84,605,197,56,39,0.347,0.306,0.674,0.2,0.017,-5.7,-0.6,7.2,2.3,0.7,0.5,Late First,Minimal,No,0.01,-24.30
2012,25,MEM,Tony Wroten,Washington,145,3076,1604,363,437,0.413,0.231,0.647,-1.3,-0.021,-3.4,-1.1,21.2,11.1,2.5,3,Late First,Minimal,No,-0.05,-14.20
2012,26,IND,Miles Plumlee,Duke,346,5658,1697,1562,178,0.542,,0.543,10.6,0.09,-1.9,0.2,16.4,4.9,4.5,0.5,Late First,Rotation,No,0.41,-9.80
2012,27,MIA,Arnett Moultrie,Mississippi State,59,729,210,180,12,0.547,,0.667,1.7,0.113,-2.8,-0.1,12.4,3.6,3.1,0.2,Late First,Minimal,No,0.06,-19.41
2012,28,OKC,Perry Jones,Baylor,143,1675,488,252,54,0.42,0.293,0.66,1.7,0.048,-3.5,-0.6,11.7,3.4,1.8,0.4,Late First,Minimal,No,0.06,-6.95
2012,29,CHI,Marquis Teague,Kentucky,91,909,217,90,134,0.343,0.222,0.661,-0.9,-0.045,-6.5,-1,10,2.4,1,1.5,Late First,Minimal,No,-0.03,-5.97
2012,30,GSW,Festus Ezeli,Vanderbilt,170,2394,712,725,63,0.513,,0.557,5.9,0.119,-2,0,14.1,4.2,4.3,0.4,Late First,Minimal,No,0.20,-14.82
2013,1,CLE,Anthony Bennett,UNLV,151,1905,658,472,77,0.392,0.261,0.67,0.5,0.013,-4.8,-1.3,12.6,4.4,3.1,0.5,Top 5,Minimal,Yes,0.50,-43.08
2013,2,ORL,Victor Oladipo,Indiana,454,14968,7955,2094,1796,0.438,0.347,0.791,24.6,0.079,0.9,10.8,33,17.5,4.6,4,Top 5,Rotation,No,12.30,-15.19
2013,3,WAS,Otto Porter Jr.,Georgetown,489,12718,5223,2440,746,0.478,0.401,0.791,35.1,0.133,1.8,12.2,26,10.7,5,1.5,Top 5,Starter,No,11.70,-15.67
2013,4,CHA,Cody Zeller,Indiana,494,10973,4202,2949,691,0.52,0.221,0.731,32.2,0.141,-0.5,4.1,22.2,8.5,6,1.4,Top 5,Starter,No,8.05,-16.36
2013,5,PHO,Alex Len,Maryland,564,10706,4342,3333,485,0.507,0.331,0.683,21.5,0.097,-1.9,0.3,19,7.7,5.9,0.9,Top 5,Rotation,No,4.30,-9.86
2013,6,NOP,Nerlens Noel,Kentucky,450,10086,3303,2789,491,0.549,0.154,0.655,28.2,0.134,0.9,7.5,22.4,7.3,6.2,1.1,Lottery,Rotation,No,4.70,0.54
